ortho_id	clade1	clade2	clade3	clade4
clust_0858	0.727272727272727	1	1	1
clust_0859	1	0.625	1	1
clust_0860	0.636363636363636	1	1	1
clust_0861	1	0.5	1	1
clust_0862	1	0.5	1	1
clust_0863	1	0.5	1	1
clust_0864	1	0.5	1	1
clust_0865	1	0.5	1	1
clust_0866	0.818181818181818	0.5	1.14285714285714	1
clust_0867	0.636363636363636	1	1	1
clust_0868	1	0.5	1	1
clust_0869	1	0.875	0.928571428571429	0
clust_0870	0.727272727272727	1	0.928571428571429	1
clust_0871	0.818181818181818	1	0.857142857142857	1
clust_0872	0.636363636363636	1	1	1
clust_0873	0.818181818181818	1	0.857142857142857	1
clust_0874	1	0.5	1	1
clust_0875	0.909090909090909	1	0.785714285714286	1
clust_0876	1	0.5	1	1
clust_0877	1	0.75	1	0
clust_0878	1	0.75	1	0
clust_0879	1	0.5	1	1
clust_0880	1	0.625	1	0.5
clust_0881	1	0.5	1	1
clust_0882	1	0.5	1	1
clust_0883	0.727272727272727	1.125	0.785714285714286	1
clust_0884	1	1	0.785714285714286	0
clust_0885	0.636363636363636	0.875	1	1
clust_0886	0.636363636363636	0.875	1	1
clust_0887	0.636363636363636	0.875	1	1
clust_0888	0.636363636363636	0.875	1	1
clust_0889	0.636363636363636	0.875	1	1
clust_0890	1	0.625	1	0
clust_0891	0.636363636363636	1	0.928571428571429	1
clust_0892	0.636363636363636	1	0.928571428571429	1
